Keyword,Area,Universitas Terdekat,Nama,Alamat,Rating,Telepon,Website,Link,Latitude,Longitude
kos Tubagus Ismail Bandung,Tubagus Ismail,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,D'Resik Kos Putri,Jl. Tubagus Ismail Dalam No.20B,5,+62 812-2044-4892,,https://www.google.com/maps/search/?api=1&query=D'Resik%20Kos%20Putri&query_place_id=ChIJqYJKCoXnaC4RKuXujgn30e8,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Oemah Putri Kos,Jl. Dago Asri V No.3,4.9,+62 22 2500380,,https://www.google.com/maps/search/?api=1&query=Oemah%20Putri%20Kos&query_place_id=ChIJiSsHdfvmaC4RzZprcWwGh8Q,,
kos Gegerkalong / Setiabudi Bandung,Gegerkalong / Setiabudi,UPI Setiabudi / POLBAN,Kost Putra,Jl. Gegerkalong Tengah 7 No.53D,4.1,+62 813-3455-0060,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra&query_place_id=ChIJg34r973maC4RsLAy9QGyuig,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Putra Yussi Dorm Tamansari No. 48/56,"Jl. Tamansari No.48, RW.56",5,+62 822-1905-6668,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Yussi%20Dorm%20Tamansari%20No.%2048%2F56&query_place_id=ChIJyYXaUgDnaC4R2owYbeHXpIg,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putra Kiara 2,Jl. Pak Gatot Raya,4.9,+62 857-2197-5990,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Kiara%202&query_place_id=ChIJO5jMTRLnaC4RFs_LRmgUIbk,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kos Putra Flamboyan,Jl. Pelesiran No.33 BLK,4.7,+62 821-2723-5084,,https://www.google.com/maps/search/?api=1&query=Kos%20Putra%20Flamboyan&query_place_id=ChIJZYVfnVXnaC4RlhHX0pVKNms,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,tempat kost,"Jl. Kalijati Indah Raya No.2, RW.no.61",5,+62 812-222-764,,https://www.google.com/maps/search/?api=1&query=tempat%20kost&query_place_id=ChIJs5UmDADnaC4Ryd5E_Jx3dbw,,
kos Gegerkalong / Setiabudi Bandung,Gegerkalong / Setiabudi,UPI Setiabudi,Rumah Kos Reynaldo Yodia,Jl. Jupiter Tengah I No.11a,,+62 838-9705-7940,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-yupiter-tengah-buahbatu-bandung,https://www.google.com/maps/search/?api=1&query=Rumah%20Kos%20Reynaldo%20Yodia&query_place_id=ChIJ52b_SgzpaC4RoapBWUVai34,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Griya Putri - - Kost Wanita,Jl. DR. Slamet No.1,4.3,+62 811-247-741,,https://www.google.com/maps/search/?api=1&query=Griya%20Putri%20-%20-%20Kost%20Wanita&query_place_id=ChIJpZzVTEPmaC4RVV2GCyi8iag,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Silver Kost 1 dekat Universitas Parahyangan UNPAR Bandung Utara Ciumbuleuit Bukit Jarian kos khusus mahasiswi atau putri,Jl. Bukit Jarian No.56,4.6,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-silver-cidadap-bandung,https://www.google.com/maps/search/?api=1&query=Silver%20Kost%201%20dekat%20Universitas%20Parahyangan%20UNPAR%20Bandung%20Utara%20Ciumbuleuit%20Bukit%20Jarian%20kos%20khusus%20mahasiswi%20atau%20putri&query_place_id=ChIJMw0Em6HnaC4RPAOE-r50FtA,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kos Putri Pondok madania,"s, Jl. Tamansari Gg. H. Unen Sumantri, RT.07/RW.13, no5a/59",4.3,+62 813-2230-2868,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Pondok%20madania&query_place_id=ChIJK11seuXnaC4RvEarixflTWk,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,KOS 20B,"Jln. Terusan Gatot Raya Gg. Gegersuni 4 No.20B, RT.07/RW.05",4.6,+62 852-2128-8749,,https://www.google.com/maps/search/?api=1&query=KOS%2020B&query_place_id=ChIJuxeV1EbnaC4RR_pjU7KgKaE,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Cozy Place Kost Putra,Jl. Sarijadi Raya No.110 Blk II,4.3,+62 813-2194-2227,,https://www.google.com/maps/search/?api=1&query=Cozy%20Place%20Kost%20Putra&query_place_id=ChIJcUJuluvnaC4Rhol00xBM6qg,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Redhome putra,"No.107 A, Jl. Dipati Ukur",4.5,+62 822-1479-0413,,https://www.google.com/maps/search/?api=1&query=Kost%20Redhome%20putra&query_place_id=ChIJB5GIYgDnaC4R0VHBqLdO-l4,,
kos Tubagus Ismail Bandung,Tubagus Ismail,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Putra HIKMAH D4,Jl. Tubagus Ismail Dalam No.29 RT.04/07,4.3,+62 821-1889-8030,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20HIKMAH%20D4&query_place_id=ChIJDUor6wXnaC4RDFIA80-KLSM,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kostan putra Bangbayang 22,Jl. Bangbayang No.22,5,+62 858-8566-2674,,https://www.google.com/maps/search/?api=1&query=Kostan%20putra%20Bangbayang%2022&query_place_id=ChIJI8LDAOvnaC4RJ_Y63PgXzRg,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Ivan Kost,Jl. Cihampelas No.302,4,+62 812-2266-621,,https://www.google.com/maps/search/?api=1&query=Ivan%20Kost&query_place_id=ChIJn8O1cvbmaC4Rg4uO41Ew4jY,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Wildan Kost,Jl. Kapten Abdul Hamid No.85B,5,+62 813-8646-2093,,https://www.google.com/maps/search/?api=1&query=Wildan%20Kost&query_place_id=ChIJW0iGNbLnaC4RBpQjWskGFKU,,
kos Gegerkalong / Setiabudi Bandung,Gegerkalong / Setiabudi,UPI Setiabudi / POLBAN,Kost Ibu Cicih,"Jl. Dr. Setiabudi No.35, RT.02/RW.03",4.9,+62 821-6540-1901,,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Cicih&query_place_id=ChIJKzBkrn_naC4RWpATu2umdeg,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Rent house,"No. 19, Jalan Muararajeun lama III, RT.07/RW.05",4.8,+62 812-2293-229,,https://www.google.com/maps/search/?api=1&query=Rent%20house&query_place_id=ChIJB9LXYMLnaC4RFTqk_nJ1lrA,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Nanino Kost,Jl. Bangbayang No.27B,5,+62 812-2588-9269,,https://www.google.com/maps/search/?api=1&query=Nanino%20Kost&query_place_id=ChIJCbxFlKznaC4ReiyX_nMB55k,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kosan pak Riki pa/pi - Mamapura,Jl. Jurang Gg. Mama Pura No.682/181,4.7,+62 812-9227-711,,https://www.google.com/maps/search/?api=1&query=Kosan%20pak%20Riki%20pa%2Fpi%20-%20Mamapura&query_place_id=ChIJhToVqALnaC4RHQ5x-tQr4Fo,,
kos Sadang Serang Bandung,Sadang Serang,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Sadang Green Kost,Jalan Terminal No.16A,4.8,+62 812-7796-2674,,https://www.google.com/maps/search/?api=1&query=Sadang%20Green%20Kost&query_place_id=ChIJBax-gavnaC4RuJ6RbFV9rXQ,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kos Putri Sabar 7,Jl. Sabar No.7,5,+62 813-1211-2789,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Sabar%207&query_place_id=ChIJWTI8U8PnaC4RoX-spgNW8AQ,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Light Home Kost,"Jl. Cibogo 3 No.9 RT05, RW.05",4.5,+62 815-7305-1295,,https://www.google.com/maps/search/?api=1&query=Light%20Home%20Kost&query_place_id=ChIJ7Vi6C37maC4RXeUXMD3yUiM,,
kos Dago / Dipatiukur Bandung,Dago / Dipatiukur,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Putri Pondok Rachika Dipatiukur,4J49+VR8,4.4,+62 812-2452-0098,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pondok%20Rachika%20Dipatiukur&query_place_id=ChIJc0yHosHnaC4R61gwFvMRwc0,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Gratia Kost,Jl. Prof. drg. Soeria Soemantri No.48,3.9,+62 816-4870-190,,https://www.google.com/maps/search/?api=1&query=Gratia%20Kost&query_place_id=ChIJgRqloYbmaC4RCk--xRmAP6M,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Putra Palm House Baru,"4J43+JQ6, Jl. Pelesiran Gang H Iyos",4,+62 22 70784486,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Palm%20House%20Baru&query_place_id=ChIJCwgaqFvmaC4RKghqg5p4zVg,,
kos Kanayakan Bandung,Kanayakan,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Kost Putra Kanayakan Baru 29-A,Jl. Kanayakan Baru No.29-A,4.6,+62 821-2602-4806,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Kanayakan%20Baru%2029-A&query_place_id=ChIJVwRtrvPnaC4RUNOHTSDcMIU,,
kos Ciumbuleuit Bandung,Ciumbuleuit,UNPAR,Kost Putri Unpar Simphony,Jl. Bukit Jarian No.44 A,5,+62 813-9578-7011,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Unpar%20Simphony&query_place_id=ChIJD5cTRWXnaC4Rr9iv7v1y5Jk,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi / POLBAN,Kos 33A Lt. 2 Mrt,"Jl. Gegerkalong Girang No.2, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0896-6377-7896,http://marethadp.tumblr.com/,https://www.google.com/maps/place/Kos+33A+Lt.+2+Mrt/data=!4m7!3m6!1s0x2e68e6bcf8d0c6c7:0xe25a2086b7062440!8m2!3d-6.8645399!4d107.5889038!16s%2Fg%2F11cn8s2hz1!19sChIJx8bQ-LzmaC4RQCQGt4YgWuI?authuser=0&hl=id&rclk=1,,
kos mahasiswa dekat UPI,Setiabudi,UPI Setiabudi,Kosan Ibu Sumi Untuk Putri,"Gg. Dahlia II No.85 RT. 06/06, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,0898-4090-181,https://wa.me/628984090181,https://www.google.com/maps/place/Kosan+Ibu+Sumi+Untuk+Putri/data=!4m7!3m6!1s0x2e68e6a49abf906d:0x89c5af2cc412e635!8m2!3d-6.8616224!4d107.5840297!16s%2Fg%2F11bzr9r0x5!19sChIJbZC_mqTmaC4RNeYSxCyvxYk?authuser=0&hl=id&rclk=1,,
kos mahasiswa dekat UPI,Setiabudi,UPI Setiabudi,Pondok Camar (Kost),"Jl. Cipaku Indah II Gang Bapak Hari, RT.01/RW.02, Ledeng, Kec. Cidadap, Kota Bandung, Jawa Barat 40143",,0821-2753-7777,https://l.instagram.com/?u=https://linktr.ee/pondokcamar.bdg?fbclid=PAZXh0bgNhZW0CMTEAAafZWRkd4MveWLWQBS8UmWgj_f87davrpuvkYOTYVYPPx4LKb7rSVcOUPhRz2g_aem_5nKEyMsKyMElsVh1dNexWA&e=AT3-OgAj_ZZh5F75KV91u5XE6QKWwoXnRXCkL-pdCk7ByEh_m4aCGpZ6yImq4a9uLyYnjXT10VLVVDDLUwGCxhSgliiqrBSNxtFdFA,https://www.google.com/maps/place/Pondok+Camar+%28Kost%29/data=!4m7!3m6!1s0x2e68e70011d5ff37:0x7707408e5ac8efb1!8m2!3d-6.860485!4d107.5963053!16s%2Fg%2F11vr41_zxx!19sChIJN__VEQDnaC4Rse_IWo5AB3c?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Setiabudi,UPI Setiabudi / POLBAN,Toserba Griya Setiabudi,"Jl. Dr. Setiabudi No.170L, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",,(022) 2043884,https://yogyagroup.com/,https://www.google.com/maps/place/Toserba+Griya+Setiabudi/data=!4m7!3m6!1s0x2e68e6947bb9e291:0xa620d6916b17d3ea!8m2!3d-6.8718229!4d107.594418!16s%2Fg%2F11b60tw4_l!19sChIJkeK5e5TmaC4R6tMXa5HWIKY?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Setiabudi,UPI Setiabudi / POLBAN,youre.at - Setiabudi,"Jl. Dr. Setiabudi No.130-134, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",,0817-0219-995,https://www.youre.at/gsa,https://www.google.com/maps/place/youre.at+-+Setiabudi/data=!4m10!3m9!1s0x2e68e71a0f4178b5:0xc48600b1784cf79b!5m2!4m1!1i2!8m2!3d-6.8747556!4d107.5971603!16s%2Fg%2F11q_kzr50c!19sChIJtXhBDxrnaC4Rm_dMeLEAhsQ?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Setiabudi,UPI Setiabudi / POLBAN,FLIPRO KOSTEL SETIABUDI BANDUNG,"4HPW+4G2, Jl. Cipaku I, Ledeng, Kec. Cidadap, Kota Bandung, Jawa Barat 40143",,0823-1019-9656,https://fatihgroup.co.id/pesantren-kost/,https://www.google.com/maps/place/FLIPRO+KOSTEL+SETIABUDI+BANDUNG/data=!4m7!3m6!1s0x2e68e7006ca5ac9d:0xb21757602e5301ab!8m2!3d-6.8647623!4d107.5962636!16s%2Fg%2F11lcmkd5yg!19sChIJnaylbADnaC4RqwFTLmBXF7I?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Gegerkalong,UPI Setiabudi / POLBAN,Kost Kejora Space,"Jl. Dr. Setiabudi Gg. H. Ridho No.5/174, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0877-3030-8119,https://www.instagram.com/kost.kejoraspace?igsh=MTdjemwyaGxhZHo2dA%3D%3D&utm_source=qr,https://www.google.com/maps/place/Kost+Kejora+Space/data=!4m7!3m6!1s0x2e68e7006c3eb515:0x49582c650b39a4da!8m2!3d-6.8674505!4d107.5931759!16s%2Fg%2F11xl3x0p7z!19sChIJFbU-bADnaC4R2qQ5C2UsWEk?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Setiabudi,UPI Setiabudi / POLBAN,Casa Feby Guest House & Kost,"Jl. Babakan Jeruk 1 Jl. Jeruk Sitrun No.40, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163",,0812-2035-0510,http://www.febygroup.com/,https://www.google.com/maps/place/Casa+Feby+Guest+House+%26+Kost/data=!4m10!3m9!1s0x2e68e67d98ad4795:0x5c20f424d7b6a942!5m2!4m1!1i2!8m2!3d-6.8897252!4d107.5826244!16s%2Fg%2F11fp4hz231!19sChIJlUetmH3maC4RQqm21yT0IFw?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Gegerkalong,UPI Setiabudi / POLBAN,pa wahyu kost,"Jl. Dr. Setiabudi No.97, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0813-9999-89621,http://www.pway.com/,https://www.google.com/maps/place/pa+wahyu+kost/data=!4m7!3m6!1s0x2e68e6930dd21031:0xb5182ca35d388120!8m2!3d-6.8737858!4d107.5953871!16s%2Fg%2F11c6sqt83q!19sChIJMRDSDZPmaC4RIIE4XaMsGLU?authuser=0&hl=id&rclk=1,,
kos Setiabudi Bandung,Setiabudi,UPI Setiabudi / POLBAN,Kost COZY,"Jl. Dr. Setiabudi No.186c, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",,0888-2259-703,https://wa.me/message/GY43OJK4I6BEP1,https://www.google.com/maps/place/Kost+COZY/data=!4m7!3m6!1s0x2e68e6944ff0efff:0xc28f508feaa44bb4!8m2!3d-6.8701924!4d107.5940809!16s%2Fg%2F11g9p0tnxz!19sChIJ_-_wT5TmaC4RtEuk6o9Qj8I?authuser=0&hl=id&rclk=1,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi / POLBAN,Kuskuskos,"Gg. H. Ridho No.6, RT.07/RW.04, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0813-1313-0091,http://www.instagram.com/kuskuskos,https://www.google.com/maps/place/Kuskuskos/data=!4m7!3m6!1s0x2e68e695ff7aecf3:0xd94e19a61a914f97!8m2!3d-6.867225!4d107.5922371!16s%2Fg%2F11b6hhl2wn!19sChIJ8-x6_5XmaC4Rl0-RGqYZTtk?authuser=0&hl=id&rclk=1,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi / POLBAN,Kost Oren Sukasari Bandung,"Jl. Gegerkalong Tengah No.48 (blk 73, RT.04/RW.03, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0895-6052-98022,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-oren-sukasari-bandung-1,https://www.google.com/maps/place/Kost+Oren+Sukasari+Bandung/data=!4m7!3m6!1s0x2e68e770b6ac7d63:0xbc63b32465cea62f!8m2!3d-6.8656039!4d107.5914405!16s%2Fg%2F11t0sr2fm5!19sChIJY32stnDnaC4RL6bOZSSzY7w?authuser=0&hl=id&rclk=1,,
kos Sekeloa Bandung,Sekeloa,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Wisma Cirebon Kost Putri,Jl. Sekeloa Utara 1 No.5,2.8,+62 812-2320-8540,,https://www.google.com/maps/search/?api=1&query=Wisma%20Cirebon%20Kost%20Putri&query_place_id=ChIJawB56cHnaC4RfJUzgHsFebY,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi / POLBAN,Kost Putri Lilis,"Jl. Gegerkalong Tengah No.16A, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0821-2644-2733,https://wa.link/lxetvf/,https://www.google.com/maps/place/Kost+Putri+Lilis/data=!4m7!3m6!1s0x2e68e7a1cbc7cf61:0xc08253a625ff3cf5!8m2!3d-6.8684915!4d107.591453!16s%2Fg%2F11mq74bf_m!19sChIJYc_Hy6HnaC4R9Tz_JaZTgsA?authuser=0&hl=id&rclk=1,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi / POLBAN,RUKUN Place Bandung,"Jl. Dr. Setiabudi Dalam No.7A, Ledeng, Kec. Cidadap, Kota Bandung, Jawa Barat 40143",,(022) 32097096,http://www.rukunplace.com/,https://www.google.com/maps/place/RUKUN+Place+Bandung/data=!4m10!3m9!1s0x2e68e6cb17e6597f:0xdc20273f90eaabb5!5m2!4m1!1i2!8m2!3d-6.847503!4d107.601634!16s%2Fg%2F11yvszwhdh!19sChIJf1nmF8vmaC4RtavqkD8nINw?authuser=0&hl=id&rclk=1,,
kos Gegerkalong Bandung,Gegerkalong,UPI Setiabudi,RedDoorz near Upi Sersan Bajuri Bandung,"Jl. Sersan Bajuri No.35, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,0813-2227-795,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/setiabudi/lembang/reddoorz-near-upi-setiabudi-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,https://www.google.com/maps/place/RedDoorz+near+Upi+Sersan+Bajuri+Bandung/data=!4m10!3m9!1s0x2e68e6b74ab17a5b:0x8e2c23efccf0429d!5m2!4m1!1i2!8m2!3d-6.855602!4d107.591965!16s%2Fg%2F11flw6tnw8!19sChIJW3qxSrfmaC4RnULwzO8jLI4?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost Setiabudi,"Jl. Budi Luhur I No.:1, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0812-8360-8888,http://kossetiabudibandung.blogspot.com/,https://www.google.com/maps/place/Kost+Setiabudi/data=!4m7!3m6!1s0x2e68e6940d2ccc41:0x7ab6857de9c06680!8m2!3d-6.87152!4d107.5935028!16s%2Fg%2F1hf9tmnby!19sChIJQcwsDZTmaC4RgGbA6X2Ftno?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Setiabudi,UPI Setiabudi,Kost EDUMEDIA Geger Asih,"Jl. Geger Asih No.148, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,0812-2384-925,https://linktr.ee/KostEdumedia,https://www.google.com/maps/place/Kost+EDUMEDIA+Geger+Asih/data=!4m7!3m6!1s0x2e68e75bffa50f7b:0x4fda747b0149ac78!8m2!3d-6.8625322!4d107.5884678!16s%2Fg%2F11pyd44jxd!19sChIJew-l_1vnaC4ReKxJAXt02k8?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost EDUMEDIA Geger Sari,"Gg Geger Sari No.45, Gegerkalong, Sukasari, Bandung City, West Java 40153",,0812-2384-925,https://linktr.ee/KostEdumedia,https://www.google.com/maps/place/Kost+EDUMEDIA+Geger+Sari/data=!4m7!3m6!1s0x2e68e72312353869:0xe60896b026912b6c!8m2!3d-6.8630738!4d107.5865206!16s%2Fg%2F11rph3m0qj!19sChIJaTg1EiPnaC4RbCuRJrCWCOY?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost EDUMEDIA Geger Bakti,"gg Geger Bakti masuk depan alfamart No.6B, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",,0812-2384-925,https://linktr.ee/KostEdumedia,https://www.google.com/maps/place/Kost+EDUMEDIA+Geger+Bakti/data=!4m7!3m6!1s0x2e68e7f6efba8875:0x584b74f6eb957770!8m2!3d-6.8630461!4d107.5871039!16s%2Fg%2F11pycspgkr!19sChIJdYi67_bnaC4RcHeV6_Z0S1g?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost Putri ACI 7,"Jl. Cilimus, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,(022) 93773677,http://www.acikost.com/,https://www.google.com/maps/place/Kost+Putri+ACI+7/data=!4m7!3m6!1s0x2e68e6b09efe647b:0xe64544c9ddac391f!8m2!3d-6.8567357!4d107.5901661!16s%2Fg%2F11bws862c4!19sChIJe2T-nrDmaC4RHzms3clEReY?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost Putri 2,"Jl. Cilimus, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,0896-7420-3664,http://www.kostputri.net/,https://www.google.com/maps/place/Kost+Putri+2/data=!4m7!3m6!1s0x2e68e6ba10c33ced:0xcd9f92ffcecd7336!8m2!3d-6.8581891!4d107.5911454!16s%2Fg%2F11hbb_tt47!19sChIJ7TzDELrmaC4RNnPNzv-Sn80?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,KOST PUTRI PONDOK ADILA,"Jl. Cilimus No.11, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,0896-8097-1923,http://kampungcilimus.com/,https://www.google.com/maps/place/KOST+PUTRI+PONDOK+ADILA/data=!4m7!3m6!1s0x2e68e6ba0ce1867f:0x4c7c120ae2ace6af!8m2!3d-6.8573619!4d107.5905595!16s%2Fg%2F11c489v5nj!19sChIJf4bhDLrmaC4Rr-as4goSfEw?authuser=0&hl=id&rclk=1,,
kos dekat UPI Bandung,Gegerkalong,UPI Setiabudi,Kost Putri 8,"Jl. Cilimus No.24, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",,(022) 93773677,http://www.kostupi.blogspot.com/,https://www.google.com/maps/place/Kost+Putri+8/data=!4m7!3m6!1s0x2e68e6ba1115b325:0xabc1b0f9b796608a!8m2!3d-6.8560555!4d107.5916544!16s%2Fg%2F1td82tq0!19sChIJJbMVEbrmaC4RimCWt_mwwas?authuser=0&hl=id&rclk=1,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Lavender Home Kost Putri,Jl. Tengku Angkasa No.40,5,+62 817-228-988,,https://www.google.com/maps/search/?api=1&query=Lavender%20Home%20Kost%20Putri&query_place_id=ChIJrc52hD3naC4RImblI9cJk8c,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost Putra Ciheulang Baru 3,Jl. Ciheulang Baru No.3,4.9,+62 22 2502707,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Ciheulang%20Baru%203&query_place_id=ChIJD6fokP_maC4RATjgw_vTAu0,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kos Putri Pak Jimmi no. 4A,Jl. Rancabentang I No.4A,4.8,+62 812-5847-867,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Pak%20Jimmi%20no.%204A&query_place_id=ChIJ83NJsAvnaC4RNfavCmnsloA,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Kost putra/putri KTB 42/28 A,3HPW+R55,4.7,+62 852-2136-0746,,https://www.google.com/maps/search/?api=1&query=Kost%20putra%2Fputri%20KTB%2042%2F28%20A&query_place_id=ChIJiWb5tX3naC4R4a0x4roYybM,,
kos Cibiru / Panyileukan Bandung,Cibiru / Panyileukan,UIN Sunan Gunung Djati,KOSAN PONDOK CEMARA,"3P66+6VP, Jl. Terusan Panyileukan",5,+62 857-0802-5361,,https://www.google.com/maps/search/?api=1&query=KOSAN%20PONDOK%20CEMARA&query_place_id=ChIJNWzMmRPDaC4R_8UxayV7pIE,,
kos Gegerkalong / Setiabudi Bandung,Gegerkalong / Setiabudi,UPI Setiabudi,Kost Aina,Jalan Jupiter Selatan 12 Blok S2 54/58 KAV 1,5,+62 821-1356-5936,,https://www.google.com/maps/search/?api=1&query=Kost%20Aina&query_place_id=ChIJwRBhClfpaC4RFKPnak1OOfM,,
kos Tamansari Bandung,Tamansari,ITB Ganesha / UNPAD Dipatiukur / UNIKOM,Cerys Kost 3.0 - Kost Khusus Putri,Gg. Pancaniti No.155/58,4.7,+62 812-1478-046,,https://www.google.com/maps/search/?api=1&query=Cerys%20Kost%203.0%20-%20Kost%20Khusus%20Putri&query_place_id=ChIJSUfvo0XmaC4RsJjkgVemaVg,,
kos Antapani Bandung,Antapani,Lainnya / Umum,Kost Sehati Antapani Bandung,Jl. Cikampek XVI No.17,5,+62 852-9407-0694,,https://www.google.com/maps/search/?api=1&query=Kost%20Sehati%20Antapani%20Bandung&query_place_id=ChIJ02zmrrPnaC4RWVTybT5RmTQ,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Muzhaffar Kost,"Kel, Jl. Desa Cipadung Kp. Cisalatri No.100a, RT.02/RW.06",3.7,+62 859-5666-4710,,https://www.google.com/maps/search/?api=1&query=Muzhaffar%20Kost&query_place_id=ChIJb1jOJ-rdaC4REzLJmhYN9jM,,
kos murah Bandung,Bandung (Lainnya),Lainnya / Umum,Cream House Kost Eksklusif,"3P56+P6F, Jl. Sakola II",5,+62 878-8346-7835,,https://www.google.com/maps/search/?api=1&query=Cream%20House%20Kost%20Eksklusif&query_place_id=ChIJc8uWZ6rDaC4RPxVYeXEnSww,,
