title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,
Kost Lestari,5,4,Jl. Rancaloa No.18,Bandung City,West Java,ID,,+62 821-2614-4937,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Lestari&query_place_id=ChIJN5F8KjDDaC4Rjlcqkud5_pw,Hotel,
Kost Putri Amalia,4.8,5,"Gg. Sastradinata No.131 A, RT.003/RW.006",Bandung City,West Java,ID,,,Lodge,Lodging,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Amalia&query_place_id=ChIJ728WOVjDaC4RtelkQcVAkX8,Lodge,
kos putri,5,2,"3PC9+7VM, Gg. Bakti 5 Jl. Manisi",Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=kos%20putri&query_place_id=ChIJw585OwDDaC4RZFvHnWBU5YU,Hostel,
Kos Putri Jupiter Barat,4,1,3M46+596Jl. Jupiter Barat M II No. 21,Bandung City,West Java,ID,,+62 812-2411-5530,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Jupiter%20Barat&query_place_id=ChIJvQGwplnpaC4RTO3j-v-1to4,Boarding house,
Kost Putri Kos Putri SAFA AL ZAHRA,3.8,4,"Jl. Flamboyan No.Blok C7/10, RT.01/RW.03",Bandung City,West Java,ID,,+62 838-9232-9288,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Kos%20Putri%20SAFA%20AL%20ZAHRA&query_place_id=ChIJH9bgUK7DaC4R7S7RxAwgZQ0,Hostel,
Kost Muslimah 2,4.9,7,Jl. Mars Sel. X No.4A,Bandung City,West Java,ID,,+62 812-9708-8763,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Muslimah%202&query_place_id=ChIJAbGArX7paC4RzcFk7HAyW7A,Boarding house,
KOST KALIJATI 32,4.7,3,Jl. Kalijati 6 No.32,Bandung City,West Java,ID,,+62 878-7240-9988,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20KALIJATI%2032&query_place_id=ChIJ5QmveADnaC4R5F7JFJoq_eY,Hostel,
Saylendra's Homestay (Kos Putri),4.1,15,Jl. Trs Pesantren VII No.95 Blok I,Bandung City,West Java,ID,,+62 813-2116-1711,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Saylendra's%20Homestay%20(Kos%20Putri)&query_place_id=ChIJ2_cB2kTdaC4RIEX7-1pva74,Boarding house,
Kost Putri Kharisma,5,8,Jl. Patra Asri Timur 4 No.L 24 blok L 23,Bandung City,West Java,ID,,+62 821-2075-7891,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Kharisma&query_place_id=ChIJD7OS2gjnaC4RkOodQ9SNTPc,Homestay,
KOS DUA PUTRI RCB,,,2MX6+9XF,Bandung City,West Java,ID,,+62 881-0231-29940,Apartment building,,,,,,,https://www.google.com/maps/search/?api=1&query=KOS%20DUA%20PUTRI%20RCB&query_place_id=ChIJaa5APwDpaC4RGd4WGRHGpv4,Apartment building,
Kost Putri TW,4.3,3,3PC8+VH2,Bandung City,West Java,ID,,,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20TW&query_place_id=ChIJWZ4bdSrDaC4RJ-6OanS9arM,Extended stay hotel,
Kost Putri C1/10,4,2,3P68+47W,Bandung City,West Java,ID,,,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20C1%2F10&query_place_id=ChIJ-cnZWn_DaC4RX6M0ep6vVJs,Hostel,
Kost Putri Fazima 1,4.9,8,"Jl. Buana No.3 RT01, RW.01",Bandung City,West Java,ID,,+62 852-6416-6760,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Fazima%201&query_place_id=ChIJCRT_RC3DaC4ROKBU5kuL14c,Hostel,
Kost PERMATA (Khusus Putri),,,Jl. Flamboyan Barat No.14,Bandung City,West Java,ID,,,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20PERMATA%20(Khusus%20Putri)&query_place_id=ChIJN9hpRwDDaC4RV_s614ZZW-s,Hotel,
Elfita Kost Putri,4.4,22,Jl. Pertamina blok i no.3. Komplek Patra Asri. Cipadung Wetan Cipadung Wetan Panyileukan Cipadung Wetan Panyileukan Bandung Jawa Barat 40164 ID,Bandung City,West Java,ID,,+62 812-2010-2373,Student dormitory,,,,,,,https://www.google.com/maps/search/?api=1&query=Elfita%20Kost%20Putri&query_place_id=ChIJMSBMhtfCaC4RAG6Dj2Lmdpg,Student dormitory,
Kosan Putri Cempaka,4.5,78,Jl. Raya Cipadung No.318,Bandung City,West Java,ID,,+62 813-8395-1716,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Putri%20Cempaka&query_place_id=ChIJG8UT2tfCaC4RnQL4ffhyht4,Hostel,
KOST AWI (kost khusus putri),4.8,5,,Bandung City,West Java,ID,https://bit.ly/kost-awi,,Boarding house,Homestay,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20AWI%20(kost%20khusus%20putri)&query_place_id=ChIJzQugPaXDaC4R5BalXq4-t9o,Boarding house,
KOS PUTRI EKSLUSIF NO56,,,Jl. Permai III No.a56,Bandung City,West Java,ID,,+62 851-8220-6960,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=KOS%20PUTRI%20EKSLUSIF%20NO56&query_place_id=ChIJO82no9HDaC4R6Lw_pbr5BrY,Hostel,
kosan khusus putri,5,9,"Samping TK Al Manar, Denibim, Jl. AH. Nasution kp gudang sikat No.22 rt03, RW.02",Bandung City,West Java,ID,https://posts.gle/FVPSLW1VJyJ3CsJp7,+62 852-8070-1677,Homestay,Boarding house,Hostel,Lodge,,,,https://www.google.com/maps/search/?api=1&query=kosan%20khusus%20putri&query_place_id=ChIJ1yvFzCXDaC4RH5FkkCgbU3g,Homestay,
Kost putri anyelir 1,4.3,6,Jl. Anyelir 1 No.19,Bandung City,West Java,ID,,,Motel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20putri%20anyelir%201&query_place_id=ChIJrbCWafLDaC4RdEwslYFGFNk,Motel,
Kost Putri Teratai,5,6,Jl. Teratai IV No.10,Bandung City,West Java,ID,,,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Teratai&query_place_id=ChIJjTqSXw3DaC4RQiAkKj0Qtz4,Lodging,
Kosan Humanisa (KOST PUTRI),4.9,12,Jl. Flamboyan No.3A,Bandung City,West Java,ID,,+62 821-2126-0009,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Humanisa%20(KOST%20PUTRI)&query_place_id=ChIJR4CzZqbDaC4RmN8YzMj6Xis,Boarding house,
Kos Putri Hj Minny,5,4,Jl. Bina Asih IV No.8,Bandung City,West Java,ID,,+62 813-1122-5733,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Hj%20Minny&query_place_id=ChIJm7WeJgDDaC4RdAXoNeoPoL0,Housing complex,
Kosan Kost Putri Ibu Rina Melia 11,4,1,Komp. Bumi Panyileukan No.4 Blk C5,Bandung City,West Java,ID,,+62 813-9482-8392,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Kost%20Putri%20Ibu%20Rina%20Melia%2011&query_place_id=ChIJ5StWYcHDaC4RnjxG2YwdwcY,Extended stay hotel,
Pondok Kost Talita,4.3,8,"blok c 22 no, Komp. Bumi Panyileukan kel No.17, RT.03/RW.03",Bandung City,West Java,ID,,+62 878-2199-9561,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Pondok%20Kost%20Talita&query_place_id=ChIJK7QQz1fDaC4RsQxiZDW1pkg,Lodging,
KOST PUTRI TENDA BIRU MANISI,4.2,14,"Samping Indomart Manisi, Jl. Manisi No.7a",Bandung City,West Java,ID,,,Student dormitory,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20PUTRI%20TENDA%20BIRU%20MANISI&query_place_id=ChIJI_1xYinDaC4RQXSrTIzrQS8,Student dormitory,
Kost Putri 7,4.7,6,Jl. Manisi No.7,Bandung City,West Java,ID,,+62 813-2150-0228,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%207&query_place_id=ChIJNbs6cXHDaC4Ry7TfiW9a8pc,Homestay,
aLivindekost,5,14,"Jl. Arum Sari VII Dalam No.2 RT05, RW.12",Bandung City,West Java,ID,,+62 857-2207-2857,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=aLivindekost&query_place_id=ChIJ5WYSYr7naC4RRSmVxEw3Wjk,Homestay,
KOST ENAM DELAPAN,5,22,Kompleks Margahayu Raya Barat Blok S2 No. 68,Bandung City,West Java,ID,https://www.instagram.com/kost.enamdelapan?igsh=MWJzaHNoZXcyZnQ3Mg==,+62 812-2148-0442,Boarding house,Guest house,Hostel,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20ENAM%20DELAPAN&query_place_id=ChIJswPEcd3paC4RZR2Nc2v-v-k,Boarding house,
Kost Putri Arka House,5,7,Jl. Cikampek V No.31,Bandung City,West Java,ID,,+62 821-7404-2652,Housing complex,Apartment complex,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Arka%20House&query_place_id=ChIJ-RJwXgDnaC4RHU5b-hq9WQ0,Housing complex,
Kos putri riska,,,Jl. Damar 3 No.3,Bandung City,West Java,ID,,,Bed & breakfast,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20putri%20riska&query_place_id=ChIJnRZ6OzzDaC4RfpTaTMSIBUc,Bed & breakfast,
Kost Putri Hasna,4.7,3,Jl. Desa Cipadung Gg. Ma ulung No.51,Bandung City,West Java,ID,,+62 813-2416-0405,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Hasna&query_place_id=ChIJx_Mgd0PDaC4REOc98TCs67Q,Lodging,
PONDOK PAKUAN (Kost Putri),4.4,9,Jl. Pakuan I No.5,Bandung City,West Java,ID,,+62 852-9515-8540,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=PONDOK%20PAKUAN%20(Kost%20Putri)&query_place_id=ChIJLal8zjLdaC4RuNENuStTnJU,Boarding house,
Kost Cahaya,5,1,Jl. Manisi Gg. Bakti 5 No.16,Bandung City,West Java,ID,,+62 812-2133-036,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Cahaya&query_place_id=ChIJk4p3zH_DaC4RCmN_xP_tlnc,Hostel,
SM KOS PUTRI 4,,,"3P45+VHF, Jl. Anyelir 1",Bandung City,West Java,ID,,,Motel,,,,,,,https://www.google.com/maps/search/?api=1&query=SM%20KOS%20PUTRI%204&query_place_id=ChIJHeb3CwDDaC4R4VmEzr1_I1w,Motel,
Kos Putri Sindang Mekar,,,"3P88+RHJ Kos puteri Sindang Mekar, RT./RW/RW.01/10",Bandung City,West Java,ID,,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Sindang%20Mekar&query_place_id=ChIJuxB7CgDDaC4Rnmol1bHQ_Vw,Boarding house,
TS KOST PUTRI,2.3,3,3P55+63R,Bandung City,West Java,ID,https://www.instagram.com/reel/Con3UyyDgbz/?igshid=YmMyMTA2M2Y=,+62 821-1648-8259,Housing development,,,,,,,https://www.google.com/maps/search/?api=1&query=TS%20KOST%20PUTRI&query_place_id=ChIJLf9VpQ3DaC4R7Do1XhYI4bA,Housing development,
kos putri sutardjo,,,Jl. Manisi No.38,Bandung City,West Java,ID,,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=kos%20putri%20sutardjo&query_place_id=ChIJB4lffgDDaC4R3q60uBlgoE0,Lodge,
Kost Putri Bu Helmi,5,4,Jl. Permai Raya II No.29,Bandung City,West Java,ID,,+62 813-8637-3855,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Bu%20Helmi&query_place_id=ChIJqcp_fu3DaC4RBdFe8I2iSkg,Boarding house,
Kost Amaris,5,9,Jl. Terusan Panyileukan No.7 Blk 1,Bandung City,West Java,ID,,+62 857-2463-8305,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Amaris&query_place_id=ChIJU5xxslLDaC4RTc94OQL7n1Q,Extended stay hotel,
Kost Putri Pak Aas,5,3,"3P9C+R89, Jl. Kosambi Cibiru",Bandung City,West Java,ID,,+62 813-9498-9893,Gated community,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pak%20Aas&query_place_id=ChIJc5GPNwDDaC4R9Orrf45pdGk,Gated community,
Kost Putri,4.2,15,Jl. Manisi No.45,Bandung City,West Java,ID,,,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri&query_place_id=ChIJnaIQZyjDaC4RsXePF6eFwpM,Lodging,
Kos Putri Pondokan Ambu,5,1,3P68+2HC,Bandung City,West Java,ID,,,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Pondokan%20Ambu&query_place_id=ChIJ0QacO3XDaC4RD9mxuwbUkl0,Housing complex,
Graha Pesona Kost,4.3,75,"Perum Graha Pesona, Jl. Pesona III No.6 Blok G",Bandung City,West Java,ID,https://grahapesona.my.canva.site/,,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Graha%20Pesona%20Kost&query_place_id=ChIJq1JhZ0vdaC4RXK-jSILJNOo,Lodge,
Kost Teratai 7,4.7,19,"Jl. Teratai VII No.11, RT.04/RW.12",Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-putri-teratai7-panyileukan-bandung,+62 852-2029-9269,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Teratai%207&query_place_id=ChIJXdy06N3CaC4R_CoNibVwtR8,Boarding house,
Lavista kost,4.9,7,"Jl. Desa Cipadung Gg. Sastradinata No.96B, RT.2/RW.06",Bandung City,West Java,ID,,+62 821-2732-1667,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Lavista%20kost&query_place_id=ChIJq7mIKp3DaC4Rb2QzYbqrH8g,Housing complex,
KOST RATU EXECUTIVE,5,2,Jl. Bulutangkis No.20,Bandung City,West Java,ID,https://www.instagram.com/kostbandung.ratukostexecutive?igsh=anVwaWU4bzlhNGtp,+62 857-1679-0967,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=KOST%20RATU%20EXECUTIVE&query_place_id=ChIJ0TmOSsndaC4RJQX0Phr43xQ,Boarding house,
Kost Putri CBD 4 Bandung,4.5,8,Jl. Cisitu Baru Dalam No.4,Bandung City,West Java,ID,,+62 856-0168-2830,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20CBD%204%20Bandung&query_place_id=ChIJ4Uv0pfnmaC4RRk_0iEWsayU,Boarding house,
Kost Farros tamansari mulai 700rb | tengah Bandung | Khusus Putra | Type A,4.4,63,Jl. Tamansari Gg. Pancaniti No.7,Bandung City,West Java,ID,https://kostamansaribandung.blogspot.com/,+62 821-2698-3976,Boarding house,Hostel,Lodge,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Farros%20tamansari%20mulai%20700rb%20%7C%20tengah%20Bandung%20%7C%20Khusus%20Putra%20%7C%20Type%20A&query_place_id=ChIJZwktpEXmaC4RZtOqJ0yRlec,Boarding house,
Kostku,4.5,45,Jl. Sangkuriang Dalam No.74,Bandung City,West Java,ID,,+62 853-9148-9983,Homestay,Hotel,,,,,,https://www.google.com/maps/search/?api=1&query=Kostku&query_place_id=ChIJSZk7j_DmaC4Rj2sQSXL3ksU,Homestay,
Kost putri tiga saudara,4.8,8,Blok A no 4,Bandung City,West Java,ID,,,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20putri%20tiga%20saudara&query_place_id=ChIJZVVsh1bnaC4RF60mBB-Rbpo,Housing complex,
Techno Kost,4.9,79,"Jl. Sangkuriang Dalam No.44/160A, RT.4/RW.12",Bandung City,West Java,ID,,,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Techno%20Kost&query_place_id=ChIJbTRcp8jnaC4RMHpVOzBrsOU,Homestay,
Kos Radiant,5,114,Jl. Ahmad 4 No.24,Bandung City,West Java,ID,,+62 813-2340-4118,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Radiant&query_place_id=ChIJv0Z7Mc_naC4RItCV6t2jE6w,Hotel,
Kost Cisitu Baru,4.4,45,Jl. Cisitu Baru No.78,Bandung City,West Java,ID,,+62 812-1059-625,Extended stay hotel,Hotel,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Cisitu%20Baru&query_place_id=ChIJz1lfAvnmaC4ReGny7sHFOv4,Extended stay hotel,
Cerys Kost 3.0 - Kost Khusus Putri,4.7,7,Gg. Pancaniti No.155/58,Bandung City,West Java,ID,,+62 812-1478-046,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Cerys%20Kost%203.0%20-%20Kost%20Khusus%20Putri&query_place_id=ChIJSUfvo0XmaC4RsJjkgVemaVg,Boarding house,
Kost Putri Ibu Heni,4.4,16,"Jl. Raya Cimindi Gang Bapak Ohe No.66, RT.4/RW.5",Bandung City,West Java,ID,,+62 852-1860-017,Boarding house,Homestay,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Ibu%20Heni&query_place_id=ChIJ7_0ApOnlaC4RX1sE1aNGE0M,Boarding house,
Kos putri,5,1,Jl. Bukit Jarian No.33b,Bandung City,West Java,ID,,+62 821-1790-2033,Religious lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20putri&query_place_id=ChIJ-V7RXwDnaC4RvC3ueBCsoQc,Religious lodging,
Kos Putri Ganesha,4.3,8,Jl. Pelesiran,Bandung City,West Java,ID,,+62 856-9118-4267,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Ganesha&query_place_id=ChIJQ-4L5FrmaC4R9X5f6KVgJgI,Homestay,
Silver Kost 1 dekat Universitas Parahyangan UNPAR Bandung Utara Ciumbuleuit Bukit Jarian kos khusus mahasiswi atau putri,4.6,14,Jl. Bukit Jarian No.56,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-silver-cidadap-bandung,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Silver%20Kost%201%20dekat%20Universitas%20Parahyangan%20UNPAR%20Bandung%20Utara%20Ciumbuleuit%20Bukit%20Jarian%20kos%20khusus%20mahasiswi%20atau%20putri&query_place_id=ChIJMw0Em6HnaC4RPAOE-r50FtA,Boarding house,
Griya Putri - - Kost Wanita,4.3,8,Jl. DR. Slamet No.1,Bandung City,West Java,ID,,+62 811-247-741,Hostel,,,,,,,https://www.google.com/maps/search/?api=1&query=Griya%20Putri%20-%20-%20Kost%20Wanita&query_place_id=ChIJpZzVTEPmaC4RVV2GCyi8iag,Hostel,
Kost Pondok Putri Ganesha,4.4,14,X Jl. Cisitu Lama No.7,Bandung City,West Java,ID,,,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Pondok%20Putri%20Ganesha&query_place_id=ChIJf6CDvvvmaC4RpMsLAJDalEc,Boarding house,
CSI Kost Bandung,4.7,25,Jl. Cisitu Indah VII No.15,Bandung City,West Java,ID,,+62 812-9280-7055,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=CSI%20Kost%20Bandung&query_place_id=ChIJnfrBdwrnaC4RTTFW51e3d_0,Boarding house,
Kost Harian & Bulanan Putri Bandung,4.3,15,Jl. Bagusrangin No.17B,Bandung City,West Java,ID,http://kostbara17b.blogspot.co.id/,+62 838-9550-7057,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Harian%20%26%20Bulanan%20Putri%20Bandung&query_place_id=ChIJDyuUclLmaC4Ri6BnvLNubBo,Extended stay hotel,
Ayahome Kost Putri No.74,4.4,27,"Cisitu Indah, Dalam V No.74",Bandung City,West Java,ID,https://www.sewakost.com/jabar/bandung/ayahome-kost-putri-dekat-itb-unpad-ithb-unikom-unisba-bip-3932.html,+62 22 2508183,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Ayahome%20Kost%20Putri%20No.74&query_place_id=ChIJRWRJcQHnaC4RMnB2N3Q_Mec,Hotel,
Kos Putri Rengganis,,,"Kos Putri Rengganis, Jl. A.H. Nasution Gang Lio Selatan No.110, RT.02/RW.01",Bandung City,West Java,ID,,,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Rengganis&query_place_id=ChIJ0SZbHQDDaC4RPAJixs_YZtg,Housing complex,
Kost putri pak hendi,4,1,"3P57+QW2, Jalan Raya",Bandung City,West Java,ID,,,Indoor lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20putri%20pak%20hendi&query_place_id=ChIJFVdzgdDDaC4R0RjuWRmfj_I,Indoor lodging,
Kos Putri Griya 33,,,"Jl. Griya Cempaka Arum Jl. Ali Bin Abi Tholib No.33 Blk G1, RT.03/Rw05",Bandung City,West Java,ID,,+62 815-7209-0934,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putri%20Griya%2033&query_place_id=ChIJQzSC5EjDaC4RA6c7xUzQvbI,Housing complex,
Rumah Kos Reynaldo Yodia,,,Jl. Jupiter Tengah I No.11a,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-yupiter-tengah-buahbatu-bandung,+62 838-9705-7940,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Kos%20Reynaldo%20Yodia&query_place_id=ChIJ52b_SgzpaC4RoapBWUVai34,Boarding house,
tempat kost,5,2,"Jl. Kalijati Indah Raya No.2, RW.no.61",Bandung City,West Java,ID,,+62 812-222-764,Housing complex,,,,,,,https://www.google.com/maps/search/?api=1&query=tempat%20kost&query_place_id=ChIJs5UmDADnaC4Ryd5E_Jx3dbw,Housing complex,
Kost Putra (The Barran),5,13,Jl. Cisitu Indah V Indah Dalam No.43,Bandung City,West Java,ID,,+62 812-2268-0073,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20(The%20Barran)&query_place_id=ChIJaQKveTnnaC4Rr7YTQycqrP8,Boarding house,
Bhakti Kost (Kost Putra),4.8,25,Jl. Tamansari No.43a/56,Bandung City,West Java,ID,,+62 857-1024-2104,Lodging,,,,,,,https://www.google.com/maps/search/?api=1&query=Bhakti%20Kost%20(Kost%20Putra)&query_place_id=ChIJLdcB38jnaC4R3pRQW8AFlOk,Lodging,
Kost Putra Kiara 2,4.9,14,Jl. Pak Gatot Raya,Bandung City,West Java,ID,,+62 857-2197-5990,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Kiara%202&query_place_id=ChIJO5jMTRLnaC4RFs_LRmgUIbk,Extended stay hotel,
Kost 2Bro,4.4,53,Jl. Cisitu Indah V No.70A,Bandung City,West Java,ID,,+62 815-4853-2224,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%202Bro&query_place_id=ChIJcdxn4eTmaC4Riew254nvQdI,Boarding house,
Kosan Annisa (Khusus Putra / Laki),4.7,6,Jl. Kebun Binatang No.24/56 RT 03/07,Bandung City,West Java,ID,https://mamikos.com/room/kost-bandung-kost-putra-eksklusif-kost-annisa-coblong-bandung#/,+62 813-2131-0888,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=Kosan%20Annisa%20(Khusus%20Putra%20%2F%20Laki)&query_place_id=ChIJgdSByp3naC4R82gKwKCG-oQ,Lodge,
Kost SOEKRIL FAMILY,4.3,16,"Jl. Pelesiran Siliwangi No.78/56, RT.02/RW.05",Bandung City,West Java,ID,,+62 822-4059-5757,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20SOEKRIL%20FAMILY&query_place_id=ChIJGQFilFrmaC4RLly_obLyybs,Boarding house,
Kost Putra Yussi Dorm Tamansari No. 48/56,5,9,"Jl. Tamansari No.48, RW.56",Bandung City,West Java,ID,,+62 822-1905-6668,Halfway house,Boarding house,Hostel,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Yussi%20Dorm%20Tamansari%20No.%2048%2F56&query_place_id=ChIJyYXaUgDnaC4R2owYbeHXpIg,Halfway house,
Kost Putra Ibu Bambang Sukajadi,4.7,16,Jl. Karang Layung Dalam No.12,Bandung City,West Java,ID,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-ibu-bambang-tipe-a-sukajadi-bandung,+62 857-7018-1984,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Ibu%20Bambang%20Sukajadi&query_place_id=ChIJLfjUem_naC4Rov6wgSoBdzM,Boarding house,
Kos Cisitu 48,5,6,"Jl. Cisitu Baru No.48, RT.07/RW.11",Bandung City,West Java,ID,,+62 899-8266-669,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Cisitu%2048&query_place_id=ChIJcxCHZv3naC4RQTPdf1g7z0Y,Hotel,
Kost Putra,4.1,25,Jl. Gegerkalong Tengah 7 No.53D,Bandung City,West Java,ID,,+62 813-3455-0060,Boarding house,Extended stay hotel,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putra&query_place_id=ChIJg34r973maC4RsLAy9QGyuig,Boarding house,
Kos Putra Flamboyan,4.7,6,Jl. Pelesiran No.33 BLK,Bandung City,West Java,ID,,+62 821-2723-5084,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Kos%20Putra%20Flamboyan&query_place_id=ChIJZYVfnVXnaC4RlhHX0pVKNms,Homestay,
KOS 20B,4.6,23,"Jln. Terusan Gatot Raya Gg. Gegersuni 4 No.20B, RT.07/RW.05",Bandung City,West Java,ID,,+62 852-2128-8749,Lodge,,,,,,,https://www.google.com/maps/search/?api=1&query=KOS%2020B&query_place_id=ChIJuxeV1EbnaC4RR_pjU7KgKaE,Lodge,
Cozy Place Kost Putra,4.3,8,Jl. Sarijadi Raya No.110 Blk II,Bandung City,West Java,ID,,+62 813-2194-2227,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=Cozy%20Place%20Kost%20Putra&query_place_id=ChIJcUJuluvnaC4Rhol00xBM6qg,Homestay,
Kost H. Dedy Cililin 101/154C,5,6,Jl. Cisitu Lama No.101 154c,Bandung City,West Java,ID,,+62 831-3703-3253,Hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20H.%20Dedy%20Cililin%20101%2F154C&query_place_id=ChIJI_OzF97naC4RQXbW6DKQMJA,Hotel,
Kost Putri Pondok Assyifa 2,5,12,Jl. Kebun Binatang No.29,Bandung City,West Java,ID,https://mamikos.com/room/kost-kost-putri-eksklusif-kost-pondok-assyifa-2-tamansari-1,+62 818-201-721,Boarding house,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Pondok%20Assyifa%202&query_place_id=ChIJ2zDGpMTnaC4RBLCo_CnRZ1Y,Boarding house,
Kost Ibu Juartini Tamansari 42/56,3.4,7,Jl. Kebun Binatang Jl. Tamansari No.42/56 RT 04/07,Bandung City,West Java,ID,,,Extended stay hotel,,,,,,,https://www.google.com/maps/search/?api=1&query=Kost%20Ibu%20Juartini%20Tamansari%2042%2F56&query_place_id=ChIJ-_fsIxPnaC4RcTCa2kt5Epg,Extended stay hotel,
